Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6236907,2017-10-31 05:38:13,2017-10-31 05:24:11,16816898,5045069400,16816898,300,2195,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236907,SRX3345204,ITA30A-GCCAAT-L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645848,SAMN07956281,simple,7460,Apis mellifera,ITA30A,,,,,male,,no,,,,,INRA,SRA626514,,public,AA97D3CF120596B8E4F0B0252B195453,2FEEFD5F3E3E7E77E4F29D44DE452319
SRR6236908,2017-10-31 05:38:13,2017-10-31 05:25:21,15998535,4799560500,15998535,300,2044,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236908,SRX3345203,ITA6A-GCCAAT-L004,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645847,SAMN07956282,simple,7460,Apis mellifera,ITA6A,,,,,male,,no,,,,,INRA,SRA626514,,public,66BD9802FEDBB8CAE085EC6048FBFB8E,5E03598F6DCBCBC987B554BC07BC0448
SRR6236909,2017-10-31 05:34:12,2017-10-31 05:21:35,13798046,4139413800,13798046,300,1958,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236909,SRX3345202,MAD13_GCCAAT_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645846,SAMN07956283,simple,7460,Apis mellifera,MAD13,,,,,male,,no,,,,,INRA,SRA626514,,public,20115659CF4BB5D2656E190EE138BE48,8090E1C58AF47FD6B81645808D7EDE98
SRR6236910,2017-10-31 05:26:13,2017-10-31 05:19:47,12039894,3611968200,12039894,300,1707,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236910,SRX3345201,MAD3_ACAGTG_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645845,SAMN07956284,simple,7460,Apis mellifera,MAD3,,,,,male,,no,,,,,INRA,SRA626514,,public,DEB0E493AF17ACA1CE1BB87A7299474B,B08CC3D7F8FECEE3EA46EF9A5BFC376C
SRR6236903,2017-10-31 05:20:12,2017-10-31 05:17:48,8752993,2625897900,8752993,300,1250,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236903,SRX3345208,MAD34_CAGATC_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645852,SAMN07956285,simple,7460,Apis mellifera,MAD34,,,,,male,,no,,,,,INRA,SRA626514,,public,6951D5192663E546D1600C3A2C72BCA5,B183C8706893251A55EEEAB2CDBF8D87
SRR6236904,2017-10-31 05:23:12,2017-10-31 05:18:24,9025313,2707593900,9025313,300,1284,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236904,SRX3345207,MAD35_ACTTGA_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645851,SAMN07956286,simple,7460,Apis mellifera,MAD35,,,,,male,,no,,,,,INRA,SRA626514,,public,9795D6E6C6123DB5D525FCF5FD741444,FF8FADB9462ECB5C6E5CFBD0B0E5381D
SRR6236905,2017-10-31 05:31:15,2017-10-31 05:22:49,10770958,3231287400,10770958,300,1547,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236905,SRX3345206,MAD36_GATCAG_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645850,SAMN07956287,simple,7460,Apis mellifera,MAD36,,,,,male,,no,,,,,INRA,SRA626514,,public,EE63FED6E68C76F90E93156A9D52D43B,25CFBD4E73074D30F30E13B72B1BB3CE
SRR6236906,2017-10-31 05:38:13,2017-10-31 05:22:57,16455902,4936770600,16455902,300,2333,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236906,SRX3345205,MAD39_TAGCTT_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645849,SAMN07956288,simple,7460,Apis mellifera,MAD39,,,,,male,,no,,,,,INRA,SRA626514,,public,15AC233AACCA854B70036187F2E19641,54D764B6E62FEDCFF79BCFC31DA4CA73
SRR6236915,2017-10-31 05:23:12,2017-10-31 05:18:53,9513039,2853911700,9513039,300,1375,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236915,SRX3345196,MU29-ma2_ATCACG_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645840,SAMN07956289,simple,7460,Apis mellifera,MAU29,,,,,male,,no,,,,,INRA,SRA626514,,public,E4C0058AE632A4D9F44C885AF87B69E3,9B16ECF06E4C876696780FD19B8F7EAA
SRR6236916,2017-10-31 05:23:12,2017-10-31 05:19:16,10299455,3089836500,10299455,300,1446,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236916,SRX3345195,MU36-m1_CGATGT_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645839,SAMN07956290,simple,7460,Apis mellifera,MAU36,,,,,male,,no,,,,,INRA,SRA626514,,public,511C5E756BAB2760C157564BB4890790,E71FA2D6D568FA9B8B236BEA51AFE9C2
SRR6236956,2017-10-31 05:44:13,2017-10-31 05:30:39,14885872,4465761600,14885872,300,2023,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236956,SRX3345155,POR15-CAGATC-L007,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645799,SAMN07956291,simple,7460,Apis mellifera,POR15,,,,,male,,no,,,,,INRA,SRA626514,,public,91257F9A63F07C9F7ADD0AA3AA770801,9D634DEC10ABB2635972B5C9DFF1948E
SRR6236955,2017-10-31 05:44:13,2017-10-31 05:28:52,17666231,5299869300,17666231,300,2366,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236955,SRX3345156,POR7-ACTGAT-L007,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645800,SAMN07956292,simple,7460,Apis mellifera,POR7,,,,,male,,no,,,,,INRA,SRA626514,,public,BA340283B51B49F3D5AE817C24AB5C8D,0913279F7567332FDB7F83C38FCB51E5
SRR6236913,2017-10-31 06:03:14,2017-10-31 05:32:47,48598003,12149500750,48598003,250,5743,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236913,SRX3345198,REU1_GTGGCC_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645842,SAMN07956305,simple,7460,Apis mellifera,REUd1,,,,,female,,no,,,,,INRA,SRA626514,,public,BE614FA7E991FB973AB5C6CA8D7B0B50,D0E678ABCC85F7AB48C4487F35A93DBE
SRR6236914,2017-10-31 05:51:14,2017-10-31 05:26:39,32216895,8054223750,32216895,250,3793,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236914,SRX3345197,REU10_TGACCA_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645841,SAMN07956306,simple,7460,Apis mellifera,REUd10,,,,,female,,no,,,,,INRA,SRA626514,,public,68F67832C8891D8ACE0AF538EF4EBF9C,214FCA3631273F6394BD4B489435905B
SRR6236911,2017-10-31 05:54:13,2017-10-31 05:29:39,36488649,9122162250,36488649,250,4081,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236911,SRX3345200,REU11_ACAGTG_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645844,SAMN07956307,simple,7460,Apis mellifera,REUd11,,,,,female,,no,,,,,INRA,SRA626514,,public,6ED4CE8A3F13823E0157F2D8F09B764B,9485827901AF478D317B3460C7746431
SRR6236912,2017-10-31 05:33:12,2017-10-31 05:21:18,21292523,5323130750,21292523,250,2390,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236912,SRX3345199,REU12_GCCAAT_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645843,SAMN07956308,simple,7460,Apis mellifera,REUd12,,,,,female,,no,,,,,INRA,SRA626514,,public,3EA6B30924FA0955C546123B0E726CDD,1505347095E4F0B1C1804969825E1D01
SRR6236931,2017-10-31 05:38:13,2017-10-31 05:24:03,22245090,5561272500,22245090,250,2493,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236931,SRX3345180,REU13_CAGATC_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645823,SAMN07956309,simple,7460,Apis mellifera,REUd13,,,,,female,,no,,,,,INRA,SRA626514,,public,784857D1A0421881545C3B169850830C,C8899030DC529F4A9DD3D91020CD3A08
SRR6236932,2017-10-31 05:49:12,2017-10-31 05:27:28,32639215,8159803750,32639215,250,3646,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236932,SRX3345179,REU14_ACTTGA_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645824,SAMN07956310,simple,7460,Apis mellifera,REUd14,,,,,female,,no,,,,,INRA,SRA626514,,public,07A4C847682B75C9A42BA86EDBCBA4CE,D660EB8E6C7DC048414B307C41988DE4
SRR6236974,2017-10-31 05:36:14,2017-10-31 05:25:03,15032652,3758163000,15032652,250,1673,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236974,SRX3345137,REU15_GATCAG_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645781,SAMN07956311,simple,7460,Apis mellifera,REUd15,,,,,female,,no,,,,,INRA,SRA626514,,public,866C5CC1BE22880A1A82CE72DFFBAF65,26779092DBB0B251FB4F17FEFC511825
SRR6236971,2017-10-31 05:52:13,2017-10-31 05:30:12,34822214,8705553500,34822214,250,3885,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236971,SRX3345140,REU16_TAGCTT_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645784,SAMN07956312,simple,7460,Apis mellifera,REUd16,,,,,female,,no,,,,,INRA,SRA626514,,public,6086983B99AC5B0911CC18DCBE46CD78,2BF1B0DC227971595888B2B374625FDC
SRR6236968,2017-10-31 05:31:15,2017-10-31 05:23:42,15452407,3863101750,15452407,250,1751,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236968,SRX3345143,REU17_GGCTAC_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645787,SAMN07956313,simple,7460,Apis mellifera,REUd17,,,,,female,,no,,,,,INRA,SRA626514,,public,E0895E8131869EF052D3048E4A0E569A,84B576C9C3E184E3906558A6BE0ECE49
SRR6236966,2017-10-31 05:30:12,2017-10-31 05:23:25,17152738,4288184500,17152738,250,1923,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236966,SRX3345145,REU18_CTTGTA_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645789,SAMN07956314,simple,7460,Apis mellifera,REUd18,,,,,female,,no,,,,,INRA,SRA626514,,public,CCF49FD0D49D84423C81CE6228DECB36,9B00A256D2E73DF96DCD26DADFB3D03A
SRR6236975,2017-10-31 05:46:14,2017-10-31 05:29:19,23413980,5853495000,23413980,250,2619,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236975,SRX3345136,REU19_AGTCAA_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645779,SAMN07956315,simple,7460,Apis mellifera,REUd19,,,,,female,,no,,,,,INRA,SRA626514,,public,A5E55794F6D1692DA7346B8FBE56E289,655567E513FC22918CD931744A91E5A5
SRR6236967,2017-10-31 05:49:12,2017-10-31 05:35:01,20549548,5137387000,20549548,250,2428,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236967,SRX3345144,REU2_GTTTCG_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645788,SAMN07956316,simple,7460,Apis mellifera,REUd2,,,,,female,,no,,,,,INRA,SRA626514,,public,AC1D066A414A9CAE3E6E17D5E92A0287,DC752886A7D77C528495524EA278A9D6
SRR6236972,2017-10-31 05:33:12,2017-10-31 05:23:07,15937305,3984326250,15937305,250,1771,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236972,SRX3345139,REU20_AGTTCC_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645782,SAMN07956317,simple,7460,Apis mellifera,REUd20,,,,,female,,no,,,,,INRA,SRA626514,,public,BF07602AA2BEDBF71A9641B3C9EA3A5B,AFF9622F21DF2A36CA0E15145CD8087D
SRR6236962,2017-10-31 05:34:12,2017-10-31 05:24:15,20898071,5224517750,20898071,250,2187,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236962,SRX3345149,REU21_ATGTCA_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645793,SAMN07956318,simple,7460,Apis mellifera,REUd21,,,,,female,,no,,,,,INRA,SRA626514,,public,1726BB5ACA776F89B62AEC80E0979D1A,EF5DF70EF47A32DF4D34EB1D5E0EF945
SRR6236930,2017-10-31 05:23:12,2017-10-31 05:19:40,14068585,3517146250,14068585,250,1506,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236930,SRX3345181,REU22_CCGTCC_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645825,SAMN07956319,simple,7460,Apis mellifera,REUd22,,,,,female,,no,,,,,INRA,SRA626514,,public,85CB1CDC224AC1B1F877C4FFDCCD2F17,923E4B42406D2BB6D2E375AE6AB3438B
SRR6236929,2017-10-31 05:26:13,2017-10-31 05:20:40,14593498,3648374500,14593498,250,1552,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236929,SRX3345182,REU23_GTCCGC_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645826,SAMN07956320,simple,7460,Apis mellifera,REUd23,,,,,female,,no,,,,,INRA,SRA626514,,public,AAFB442ECB4CBA64C043FE4490037BDB,360280FE7F3B54988BF4745AE79FEE98
SRR6236941,2017-10-31 05:41:12,2017-10-31 05:29:11,19077582,4769395500,19077582,250,2028,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236941,SRX3345170,REU24_GTGAAA_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645814,SAMN07956321,simple,7460,Apis mellifera,REUd24,,,,,female,,no,,,,,INRA,SRA626514,,public,3E46533B4AC5DE24DA70EFD92EFB0DE0,585FB8B4A6B89B79A2D8A961EB6C2ED1
SRR6236920,2017-10-31 05:22:14,2017-10-31 05:18:06,10259620,2564905000,10259620,250,1081,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236920,SRX3345191,REU25_GTGGCC_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645836,SAMN07956322,simple,7460,Apis mellifera,REUd25,,,,,female,,no,,,,,INRA,SRA626514,,public,7C2F20B1DFA2587A385F7702A766A348,F522EF5343792C213042F5CEF78E2861
SRR6236921,2017-10-31 05:53:12,2017-10-31 05:29:58,38902520,9725630000,38902520,250,4062,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236921,SRX3345190,REU26_GTTTCG_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645834,SAMN07956323,simple,7460,Apis mellifera,REUd26,,,,,female,,no,,,,,INRA,SRA626514,,public,D7043D2371EB3F0D179808DA326F3810,D5D6E207C2A4679FC7AD6DAEFA7DDC28
SRR6236922,2017-10-31 05:23:12,2017-10-31 05:19:20,14049827,3512456750,14049827,250,1470,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236922,SRX3345189,REU27_CGTACG_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645833,SAMN07956324,simple,7460,Apis mellifera,REUd27,,,,,female,,no,,,,,INRA,SRA626514,,public,1B8A36D0E797FC178968F2C952DFB0F9,49FC00980E0997D39CCCC94B4E1E2920
SRR6236923,2017-10-31 05:20:12,2017-10-31 05:17:33,10207141,2551785250,10207141,250,1060,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236923,SRX3345188,REU28_GAGTGG_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645832,SAMN07956325,simple,7460,Apis mellifera,REUd28,,,,,female,,no,,,,,INRA,SRA626514,,public,9010B0F1DCC073BD12ED5474707B7864,7A347B0E840E40CDAC70199E2ADCA86C
SRR6236924,2017-10-31 05:26:13,2017-10-31 05:20:17,16243513,4060878250,16243513,250,1705,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236924,SRX3345187,REU29_ACTGAT_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645831,SAMN07956326,simple,7460,Apis mellifera,REUd29,,,,,female,,no,,,,,INRA,SRA626514,,public,B359C003FD84EB2DA140497A9C6A1222,BBE17DC7A1B2F2A902AA13ADC02D10A1
SRR6236973,2017-10-31 06:05:11,2017-10-31 05:41:15,40807452,10201863000,40807452,250,4818,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236973,SRX3345138,REU3_CGTACG_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645783,SAMN07956327,simple,7460,Apis mellifera,REUd3,,,,,female,,no,,,,,INRA,SRA626514,,public,F50FB9E2369E57982B949E4400F7744B,3F830B3FE7496B698EC402762B471DD0
SRR6236926,2017-10-31 05:23:12,2017-10-31 05:19:23,13173139,3293284750,13173139,250,1376,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236926,SRX3345185,REU30_ATTCCT_L002,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645830,SAMN07956328,simple,7460,Apis mellifera,REUd30,,,,,female,,no,,,,,INRA,SRA626514,,public,B130B9F6CDC349DC8DCE114ECC84396A,C9EDB90DE32F2CED4C64306A331084BC
SRR6236927,2017-10-31 05:45:13,2017-10-31 05:25:29,28245542,7061385500,28245542,250,3283,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236927,SRX3345184,REU4_GAGTGG_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645828,SAMN07956329,simple,7460,Apis mellifera,REUd4,,,,,female,,no,,,,,INRA,SRA626514,,public,52A6ECB1AA6D0CC53C3468422DBBEFAF,39EEBEFF888C6951197B129E49B66ACF
SRR6236928,2017-10-31 05:24:12,2017-10-31 05:19:21,12299084,3074771000,12299084,250,1447,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236928,SRX3345183,REU5_ACTGAT_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645827,SAMN07956330,simple,7460,Apis mellifera,REUd5,,,,,female,,no,,,,,INRA,SRA626514,,public,2BAC4415AE4E22703E3501FA56A32AAB,D23E1B9BFF2F84DDA878DED9D02D4FB3
SRR6236965,2017-10-31 05:45:13,2017-10-31 05:26:03,25932386,6483096500,25932386,250,3041,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236965,SRX3345146,REU6_ATTCCT_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645790,SAMN07956331,simple,7460,Apis mellifera,REUd6,,,,,female,,no,,,,,INRA,SRA626514,,public,0D086DBFF1C03352573D178FF70028A6,0498278E104538D9707E1B7E2760A00E
SRR6236964,2017-10-31 05:31:15,2017-10-31 05:21:41,10703574,2675893500,10703574,250,1272,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236964,SRX3345147,REU7_ATCACG_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645791,SAMN07956332,simple,7460,Apis mellifera,REUd7,,,,,female,,no,,,,,INRA,SRA626514,,public,99CEE649D7F6D7AB2BA52A620BFE0FB2,E76B2569341805EAFEEDBE55CD606C79
SRR6236963,2017-10-31 05:51:13,2017-10-31 05:35:51,22800799,5700199750,22800799,250,2683,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236963,SRX3345148,REU8_CGATGT_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645792,SAMN07956333,simple,7460,Apis mellifera,REUd8,,,,,female,,no,,,,,INRA,SRA626514,,public,5DC506B7C368F02FFFDA262DDF4FE883,68E90AA428CDD2AE8EF139E1A0DF9CC9
SRR6236976,2017-10-31 05:44:12,2017-10-31 05:26:55,20687841,5171960250,20687841,250,2448,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236976,SRX3345135,REU9_TTAGGC_L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645780,SAMN07956334,simple,7460,Apis mellifera,REUd9,,,,,female,,no,,,,,INRA,SRA626514,,public,6480B231136D16355880644415DC5D98,CAB765EA26FADA97A653B811CBCF8C5F
SRR6236960,2017-10-31 05:27:28,2017-10-31 05:23:07,9736356,2920906800,9736356,300,1414,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236960,SRX3345151,RUN103_GTCCGC_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645795,SAMN07956295,simple,7460,Apis mellifera,REUh103,,,,,male,,no,,,,,INRA,SRA626514,,public,7AFFC6592278F596108BFE547BFCD206,D6B9312B5F8D8E1C65BD5811F73FCE5B
SRR6236959,2017-10-31 05:26:13,2017-10-31 05:22:22,9032445,2709733500,9032445,300,1313,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236959,SRX3345152,RUN12_CCGTCC_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645796,SAMN07956296,simple,7460,Apis mellifera,REUh12,,,,,male,,no,,,,,INRA,SRA626514,,public,B254A1ECB9087531F040903E5B7D29F2,4198E8A4D260DAF367D7D005D6A2C116
SRR6236958,2017-10-31 05:46:14,2017-10-31 05:28:37,19853889,5956166700,19853889,300,2791,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236958,SRX3345153,RUN2_AGTCAA_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645797,SAMN07956297,simple,7460,Apis mellifera,REUh2,,,,,male,,no,,,,,INRA,SRA626514,,public,6426D8368ECF87BE4DF52C28DA7D1544,69258F1CA209861B4CBF76E027438C76
SRR6236919,2017-10-31 05:33:12,2017-10-31 05:21:40,11846480,3553944000,11846480,300,1719,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236919,SRX3345192,RUNCOL29_GTGAAA_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645835,SAMN07956300,simple,7460,Apis mellifera,REUh29,,,,,male,,no,,,,,INRA,SRA626514,,public,D7F2FF1579112488A0A82122708BBE4D,DFA9A075FB6FAB12EF745FA34372FF69
SRR6236957,2017-10-31 05:33:12,2017-10-31 05:24:27,11784161,3535248300,11784161,300,1660,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236957,SRX3345154,RUN4_AGTTCC_L005,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645798,SAMN07956298,simple,7460,Apis mellifera,REUh4,,,,,male,,no,,,,,INRA,SRA626514,,public,8A32267FE1797C76D4F1D7AD87855323,AA56EC73E7C21FEB41AFDD24D0AEF370
